('2019-7-5', 30.00, 'Prenotato', 'B', 7, 14, 1),
('2019-7-5', 30.00, 'Online', 'F', 7, 14, 1),
('2019-7-5', 30.00, 'Prenotato', 'A', 4, 14, 1),
('2019-7-5', 30.00, 'Prenotato', 'B', 6, 14, 1),
('2019-7-5', 30.00, 'Online', 'C', 7, 14, 1),
('2019-7-5', 30.00, 'Botteghino', 'B', 7, 14, 1),
('2019-7-5', 30.00, 'Botteghino', 'B', 2, 14, 1),
('2019-7-5', 30.00, 'Online', 'D', 9, 14, 1),
('2019-7-5', 30.00, 'Botteghino', 'A', 8, 14, 1),
('2019-7-5', 30.00, 'Botteghino', 'F', 7, 14, 1),
('2019-7-5', 30.00, 'Online', 'D', 2, 14, 1),
('2019-7-5', 30.00, 'Botteghino', 'F', 3, 14, 1),
('2019-7-5', 30.00, 'Botteghino', 'E', 6, 14, 1),
('2019-7-5', 30.00, 'Botteghino', 'A', 3, 14, 1),
('2019-7-5', 30.00, 'Online', 'F', 8, 14, 1),
('2019-7-5', 30.00, 'Online', 'C', 4, 14, 1),
('2019-7-5', 30.00, 'Botteghino', 'A', 5, 14, 1),
('2019-7-5', 30.00, 'Prenotato', 'D', 9, 14, 1),
('2019-7-5', 30.00, 'Prenotato', 'B', 9, 14, 1),
('2019-7-5', 30.00, 'Botteghino', 'E', 9, 14, 1),
('2018-12-18', 45.00, 'Online', 'E', 3, 9, 2),
('2018-12-18', 45.00, 'Prenotato', 'C', 6, 9, 2),
('2018-12-18', 45.00, 'Botteghino', 'B', 2, 9, 2),
('2018-12-18', 45.00, 'Botteghino', 'A', 2, 9, 2),
('2018-12-18', 45.00, 'Online', 'A', 8, 9, 2),
('2018-12-18', 45.00, 'Prenotato', 'B', 2, 9, 2),
('2018-12-18', 45.00, 'Botteghino', 'B', 4, 9, 2),
('2018-12-18', 45.00, 'Botteghino', 'B', 4, 9, 2),
('2018-12-18', 45.00, 'Prenotato', 'D', 5, 9, 2),
('2018-12-18', 45.00, 'Online', 'F', 6, 9, 2),
('2018-12-18', 45.00, 'Botteghino', 'E', 6, 9, 2),
('2018-12-18', 45.00, 'Botteghino', 'A', 7, 9, 2),
('2018-12-18', 45.00, 'Prenotato', 'E', 7, 9, 2),
('2018-12-18', 45.00, 'Prenotato', 'F', 1, 9, 2),
('2018-12-18', 45.00, 'Prenotato', 'B', 1, 9, 2),
('2018-12-18', 45.00, 'Botteghino', 'A', 5, 9, 2),
('2018-12-18', 45.00, 'Online', 'B', 1, 9, 2),
('2018-12-18', 45.00, 'Botteghino', 'D', 4, 9, 2),
('2018-12-18', 45.00, 'Online', 'F', 8, 9, 2),
('2018-12-18', 45.00, 'Online', 'A', 8, 9, 2),
('2021-5-26', 41.00, 'Prenotato', 'A', 7, 12, 3),
('2021-5-26', 41.00, 'Online', 'D', 5, 12, 3),
('2021-5-26', 41.00, 'Prenotato', 'D', 6, 12, 3),
('2021-5-26', 41.00, 'Online', 'C', 5, 12, 3),
('2021-5-26', 41.00, 'Online', 'E', 8, 12, 3),
('2021-5-26', 41.00, 'Prenotato', 'A', 1, 12, 3),
('2021-5-26', 41.00, 'Prenotato', 'A', 5, 12, 3),
('2021-5-26', 41.00, 'Prenotato', 'F', 7, 12, 3),
('2021-5-26', 41.00, 'Prenotato', 'E', 3, 12, 3),
('2021-5-26', 41.00, 'Online', 'C', 3, 12, 3),
('2021-5-26', 41.00, 'Prenotato', 'E', 5, 12, 3),
('2021-5-26', 41.00, 'Online', 'A', 5, 12, 3),
('2021-5-26', 41.00, 'Botteghino', 'A', 8, 12, 3),
('2021-5-26', 41.00, 'Online', 'B', 9, 12, 3),
('2021-5-26', 41.00, 'Botteghino', 'D', 6, 12, 3),
('2021-5-26', 41.00, 'Botteghino', 'E', 3, 12, 3),
('2021-5-26', 41.00, 'Online', 'F', 8, 12, 3),
('2021-5-26', 41.00, 'Botteghino', 'D', 6, 12, 3),
('2021-5-26', 41.00, 'Botteghino', 'A', 7, 12, 3),
('2021-5-26', 41.00, 'Online', 'F', 9, 12, 3),
('2017-12-19', 32.00, 'Prenotato', 'C', 1, 13, 4),
('2017-12-19', 32.00, 'Prenotato', 'A', 5, 13, 4),
('2017-12-19', 32.00, 'Prenotato', 'A', 2, 13, 4),
('2017-12-19', 32.00, 'Botteghino', 'A', 3, 13, 4),
