('2019-7-5', '17:00', '19:30', 14, 11),
('2018-12-18', '17:00', '19:30', 9, 17),
('2021-5-26', '17:00', '19:30', 12, 9),
('2017-12-19', '21:00', '23:30', 13, 13),
('2015-7-17', '17:00', '19:30', 13, 4),
('2019-1-7', '18:00', '20:30', 12, 6),
('2010-9-20', '16:00', '18:30', 2, 9),
('2014-10-22', '19:00', '21:30', 15, 12),
('2011-11-18', '19:00', '21:30', 3, 3),
('2017-5-11', '17:00', '19:30', 10, 9),
('2009-11-6', '17:00', '19:30', 15, 15),
('2009-5-2', '19:00', '21:30', 8, 3),
('2004-6-14', '21:00', '23:30', 5, 7),
('2009-2-27', '17:00', '19:30', 4, 11),
('2017-6-27', '18:00', '20:30', 12, 12),
('2018-3-18', '20:00', '22:30', 4, 4),
('2004-10-27', '20:00', '22:30', 7, 9),
('2012-2-18', '17:00', '19:30', 8, 17),
('2015-2-8', '19:00', '21:30', 10, 7),
('2002-7-8', '21:00', '23:30', 6, 17),
('2014-2-26', '17:00', '19:30', 10, 1),
('2006-11-20', '16:00', '18:30', 12, 5),
('2007-5-18', '18:00', '20:30', 2, 10),
('2018-9-8', '20:00', '22:30', 8, 15),
('2019-8-3', '20:00', '22:30', 9, 2),
('2005-2-4', '16:00', '18:30', 4, 4),
('2014-2-19', '20:00', '22:30', 11, 7),
('2020-10-5', '18:00', '20:30', 14, 3),
('2009-7-30', '18:00', '20:30', 5, 1),
('2018-10-11', '19:00', '21:30', 11, 17),
('2016-2-29', '21:00', '23:30', 8, 16),
('2010-10-23', '17:00', '19:30', 11, 14),
('2016-6-24', '17:00', '19:30', 8, 1),
('2005-4-8', '16:00', '18:30', 10, 3),
('2002-5-3', '18:00', '20:30', 14, 15),
('2021-7-14', '17:00', '19:30', 3, 12),
('2021-1-2', '20:00', '22:30', 12, 5),
('2014-1-16', '16:00', '18:30', 14, 6),
('2005-4-17', '18:00', '20:30', 7, 2),
('2005-8-19', '16:00', '18:30', 12, 1),
('2004-1-5', '19:00', '21:30', 7, 16),
('2006-4-24', '21:00', '23:30', 4, 9),
('2005-4-18', '17:00', '19:30', 4, 14),
('2015-3-7', '18:00', '20:30', 1, 16),
('2019-5-13', '17:00', '19:30', 10, 2),
('2006-1-17', '18:00', '20:30', 1, 3),
('2021-6-12', '19:00', '21:30', 3, 9),
('2020-10-16', '16:00', '18:30', 5, 7),
('2014-12-9', '18:00', '20:30', 7, 14),
('2017-12-24', '20:00', '22:30', 14, 15),
('2021-12-5', '21:00', '23:30', 5, 12),
('2020-6-4', '21:00', '23:30', 3, 17),
('2019-10-7', '21:00', '23:30', 4, 17),
('2014-2-9', '16:00', '18:30', 11, 4),
('2014-10-20', '20:00', '22:30', 2, 1),
('2008-9-23', '16:00', '18:30', 2, 15),
('2005-7-12', '20:00', '22:30', 12, 9),
('2010-10-4', '20:00', '22:30', 12, 17),
('2003-1-3', '19:00', '21:30', 7, 3),
('2004-8-14', '19:00', '21:30', 12, 7),
('2002-10-9', '18:00', '20:30', 4, 8),
('2012-6-2', '20:00', '22:30', 13, 8),
('2007-9-22', '18:00', '20:30', 1, 12),
('2010-4-2', '21:00', '23:30', 7, 1),
('2004-5-19', '18:00', '20:30', 4, 3),
('2015-6-7', '20:00', '22:30', 11, 7),
('2022-2-9', '20:00', '22:30', 15, 10),
('2002-11-25', '17:00', '19:30', 2, 1),
('2013-1-24', '20:00', '22:30', 8, 14),
('2016-11-16', '18:00', '20:30', 9, 14),
('2013-4-1', '20:00', '22:30', 13, 13),
('2004-3-27', '21:00', '23:30', 4, 12),
('2015-4-17', '20:00', '22:30', 2, 2),
('2018-7-26', '20:00', '22:30', 2, 17),
('2017-1-24', '19:00', '21:30', 6, 7),
('2018-7-2', '18:00', '20:30', 10, 8),
('2019-12-22', '17:00', '19:30', 10, 12),
('2007-6-26', '17:00', '19:30', 10, 8),
('2018-1-27', '16:00', '18:30', 12, 5),
('2022-8-2', '21:00', '23:30', 15, 15),
('2015-11-29', '21:00', '23:30', 12, 7),
('2020-5-27', '19:00', '21:30', 2, 3),
('2010-4-19', '16:00', '18:30', 7, 2),
('2010-4-4', '18:00', '20:30', 13, 14),
('2007-10-15', '16:00', '18:30', 8, 9),
('2005-7-22', '20:00', '22:30', 4, 8),
('2014-5-17', '17:00', '19:30', 4, 11),
('2014-4-20', '19:00', '21:30', 8, 13),
('2003-2-11', '16:00', '18:30', 15, 11),
('2019-12-3', '17:00', '19:30', 7, 5),
('2015-1-22', '19:00', '21:30', 12, 4),
('2006-11-5', '18:00', '20:30', 6, 9),
('2012-7-20', '20:00', '22:30', 15, 8),
('2021-7-13', '20:00', '22:30', 13, 11),
('2007-8-11', '16:00', '18:30', 14, 10),
('2015-2-13', '18:00', '20:30', 15, 12),
('2014-3-10', '21:00', '23:30', 12, 17),
('2006-1-1', '21:00', '23:30', 4, 15),
('2021-3-17', '16:00', '18:30', 4, 14),
('2003-4-28', '17:00', '19:30', 1, 4),
('2002-6-1', '19:00', '21:30', 8, 11),
('2016-1-5', '18:00', '20:30', 2, 16),
('2003-11-14', '16:00', '18:30', 15, 4),
('2019-5-28', '18:00', '20:30', 14, 5),
('2013-4-11', '19:00', '21:30', 15, 7),
('2011-2-19', '17:00', '19:30', 10, 17),
('2022-6-21', '18:00', '20:30', 7, 8),
('2008-12-10', '18:00', '20:30', 2, 8),
('2007-2-19', '19:00', '21:30', 13, 1),
('2002-9-10', '19:00', '21:30', 3, 11),
('2005-10-29', '19:00', '21:30', 6, 10),
('2012-4-22', '17:00', '19:30', 13, 16),
('2014-3-29', '16:00', '18:30', 8, 9),
('2022-8-26', '20:00', '22:30', 10, 4),
('2007-6-9', '19:00', '21:30', 9, 14),
('2006-4-16', '20:00', '22:30', 3, 15),
('2022-10-17', '19:00', '21:30', 4, 14),
('2003-4-12', '16:00', '18:30', 10, 13),
('2008-11-22', '20:00', '22:30', 11, 11),
('2013-3-8', '18:00', '20:30', 14, 11),
('2018-11-4', '20:00', '22:30', 14, 15),
('2011-2-14', '19:00', '21:30', 11, 14),
('2013-1-3', '18:00', '20:30', 6, 5),
('2015-10-24', '17:00', '19:30', 14, 5),
('2005-1-22', '18:00', '20:30', 15, 11),
('2005-9-28', '16:00', '18:30', 7, 15),
('2018-11-22', '17:00', '19:30', 7, 10),
('2006-5-20', '17:00', '19:30', 15, 2),
('2017-6-22', '18:00', '20:30', 3, 4),
('2005-9-6', '21:00', '23:30', 1, 17),
('2014-12-5', '18:00', '20:30', 4, 8),
('2007-5-17', '18:00', '20:30', 7, 14),
('2010-6-7', '21:00', '23:30', 14, 2),
('2020-7-15', '20:00', '22:30', 13, 12),
('2014-4-23', '18:00', '20:30', 15, 7),
('2007-10-15', '21:00', '23:30', 4, 8),
('2018-5-27', '17:00', '19:30', 14, 5),
('2002-2-23', '19:00', '21:30', 14, 6),
('2009-9-24', '20:00', '22:30', 2, 13),
('2005-9-23', '17:00', '19:30', 9, 1),
('2007-6-15', '19:00', '21:30', 2, 12),
('2021-5-12', '16:00', '18:30', 2, 1),
('2016-1-2', '20:00', '22:30', 8, 17),
('2013-8-14', '19:00', '21:30', 4, 9),
('2019-10-20', '21:00', '23:30', 3, 1),
('2018-2-10', '18:00', '20:30', 15, 16),
('2007-4-20', '17:00', '19:30', 6, 7),
('2019-2-4', '18:00', '20:30', 11, 13),
('2018-1-13', '17:00', '19:30', 7, 1),
('2002-8-26', '21:00', '23:30', 7, 15),
('2012-11-13', '17:00', '19:30', 4, 13),
('2020-4-7', '18:00', '20:30', 5, 14),
('2002-7-29', '18:00', '20:30', 1, 12),
('2005-4-7', '21:00', '23:30', 12, 2),
('2002-2-18', '19:00', '21:30', 3, 12),
('2020-9-26', '16:00', '18:30', 9, 5),
('2012-6-24', '20:00', '22:30', 8, 5),
