('2006-9-11', 34.00, 'Botteghino', 'D', 2, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'A', 2, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'D', 1, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'C', 1, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'F', 8, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'C', 2, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'E', 3, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'B', 5, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'F', 2, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'B', 3, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'B', 7, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'F', 7, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'D', 1, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'B', 4, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'C', 4, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'C', 1, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'B', 4, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'E', 5, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'F', 4, 13, 1),
('2006-9-11', 34.00, 'Botteghino', 'D', 9, 13, 1),
('2005-2-15', 39.00, 'Botteghino', 'E', 1, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'D', 5, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'F', 6, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'A', 4, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'B', 7, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'E', 2, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'D', 3, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'E', 1, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'F', 8, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'D', 3, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'F', 2, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'E', 8, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'C', 9, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'E', 6, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'D', 5, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'F', 6, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'F', 1, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'C', 3, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'C', 3, 10, 2),
('2005-2-15', 39.00, 'Botteghino', 'E', 4, 10, 2),
('2017-7-8', 40.00, 'Botteghino', 'E', 1, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'A', 7, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'A', 9, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'D', 3, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'E', 6, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'D', 1, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'D', 3, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'A', 7, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'A', 8, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'C', 9, 5, 3),
('2017-7-8', 40.00, 'Botteghino', 'A', 8, 5, 3),
