('2006-9-11', '18:00', '20:30', 13, 2),
('2005-2-15', '16:00', '18:30', 10, 10),
('2017-7-8', '20:00', '22:30', 5, 13),
('2003-5-2', '18:00', '20:30', 12, 15),
('2010-4-1', '17:00', '19:30', 4, 14),
('2017-4-8', '18:00', '20:30', 12, 1),
('2007-3-21', '16:00', '18:30', 12, 2),
('2004-6-14', '17:00', '19:30', 7, 12),
('2021-1-20', '21:00', '23:30', 9, 15),
('2005-1-8', '21:00', '23:30', 14, 13),
('2013-12-24', '18:00', '20:30', 2, 13),
('2014-2-14', '18:00', '20:30', 10, 9),
('2004-7-10', '19:00', '21:30', 12, 15),
('2018-12-29', '17:00', '19:30', 6, 17),
('2011-8-24', '20:00', '22:30', 4, 15),
('2002-7-10', '17:00', '19:30', 14, 1),
('2017-1-24', '18:00', '20:30', 6, 14),
('2010-6-14', '16:00', '18:30', 4, 8),
('2016-6-9', '18:00', '20:30', 10, 7),
('2011-11-3', '20:00', '22:30', 14, 8),
('2008-11-4', '21:00', '23:30', 13, 9),
('2017-11-11', '20:00', '22:30', 10, 7),
('2019-7-26', '18:00', '20:30', 12, 4),
('2011-7-23', '18:00', '20:30', 10, 10),
('2015-1-17', '17:00', '19:30', 1, 12),
('2015-3-28', '21:00', '23:30', 3, 4),
('2019-5-16', '16:00', '18:30', 9, 5),
('2010-9-3', '17:00', '19:30', 14, 8),
('2022-9-3', '19:00', '21:30', 7, 1),
('2004-8-4', '17:00', '19:30', 5, 10),
('2018-10-30', '18:00', '20:30', 4, 17),
('2013-3-3', '19:00', '21:30', 14, 7),
('2018-10-13', '19:00', '21:30', 9, 12),
('2008-2-8', '20:00', '22:30', 4, 13),
('2015-11-22', '16:00', '18:30', 9, 14),
('2020-7-30', '19:00', '21:30', 4, 7),
('2014-5-1', '16:00', '18:30', 15, 10),
('2015-5-18', '16:00', '18:30', 11, 6),
('2015-4-26', '17:00', '19:30', 12, 2),
('2020-4-6', '18:00', '20:30', 8, 6),
('2005-6-23', '19:00', '21:30', 12, 3),
('2011-8-5', '18:00', '20:30', 8, 11),
('2016-11-5', '18:00', '20:30', 12, 7),
('2007-9-29', '16:00', '18:30', 1, 8),
('2005-12-9', '20:00', '22:30', 1, 14),
('2016-7-30', '19:00', '21:30', 12, 1),
('2005-3-4', '18:00', '20:30', 13, 2),
('2019-9-9', '17:00', '19:30', 3, 13),
('2017-9-23', '17:00', '19:30', 10, 2),
('2009-8-16', '20:00', '22:30', 2, 7),
('2014-1-30', '21:00', '23:30', 14, 8),
('2020-11-15', '21:00', '23:30', 8, 2),
