('2022-1-3', 30.00, 'Botteghino', 'F', 4, 6, 238, 'vegeta'),
('2020-2-12', 47.00, 'Online', 'A', 6, 5, 485, 'homer'),
('2013-4-30', 39.00, 'Online', 'D', 8, 13, 199, 'Goku'),
('2004-8-24', 37.00, 'Prenotato', 'E', 9, 12, 252, 'giorgia'),
('2022-3-6', 43.00, 'Online', 'C', 9, 4, 418, 'bickpenna'),
('2002-6-7', 32.00, 'Botteghino', 'E', 8, 3, 246, 'homer'),
('2009-7-6', 45.00, 'Online', 'A', 5, 8, 64, 'giorgia'),
('2014-5-26', 46.00, 'Online', 'A', 5, 10, 33, 'vegeta'),
('2013-11-15', 39.00, 'Botteghino', 'D', 8, 12, 174, 'giorgia'),
('2007-9-11', 35.00, 'Online', 'A', 9, 7, 414, 'lorenzo-tecchia'),
('2010-7-27', 30.00, 'Online', 'A', 4, 8, 311, 'giorgiovanni'),
('2018-3-9', 33.00, 'Botteghino', 'F', 6, 1, 306, 'vegeta'),
('2015-5-11', 30.00, 'Online', 'F', 8, 4, 256, 'bickpenna'),
('2018-3-27', 36.00, 'Botteghino', 'D', 7, 2, 260, 'giorgia'),
('2022-10-24', 46.00, 'Online', 'E', 5, 1, 215, 'bickpenna'),
('2009-9-19', 50.00, 'Prenotato', 'B', 9, 13, 124, 'vegeta'),
('2006-4-11', 32.00, 'Prenotato', 'A', 1, 13, 3, 'giorgiovanni'),
('2010-5-5', 42.00, 'Botteghino', 'C', 4, 6, 339, 'lorenzo-tecchia'),
('2005-1-9', 38.00, 'Prenotato', 'C', 5, 5, 313, 'lorenzo-tecchia'),
('2018-9-9', 49.00, 'Online', 'F', 9, 6, 340, 'vegeta'),
('2022-6-9', 35.00, 'Online', 'A', 1, 9, 113, 'bickpenna'),
('2017-6-29', 47.00, 'Online', 'C', 4, 10, 96, 'giorgiovanni'),
('2004-6-4', 40.00, 'Online', 'A', 9, 14, 448, 'bickpenna'),
('2008-4-27', 45.00, 'Online', 'F', 3, 14, 269, 'vegeta'),
('2003-6-18', 43.00, 'Botteghino', 'F', 4, 8, 130, 'vegeta'),
('2010-8-10', 37.00, 'Prenotato', 'C', 1, 13, 343, 'bickpenna'),
('2021-12-3', 42.00, 'Prenotato', 'C', 6, 14, 382, 'giorgia'),
('2021-2-20', 34.00, 'Online', 'A', 5, 2, 262, 'giorgiovanni'),
('2018-12-1', 30.00, 'Prenotato', 'F', 9, 5, 448, 'giorgiovanni'),
('2006-9-4', 38.00, 'Botteghino', 'A', 6, 4, 350, 'vegeta'),
('2022-7-14', 45.00, 'Online', 'A', 1, 13, 142, 'giorgiovanni'),
('2015-12-25', 39.00, 'Online', 'C', 5, 3, 403, 'bickpenna'),
('2022-8-8', 49.00, 'Online', 'E', 5, 11, 4, 'lorenzo-tecchia'),
('2008-12-11', 49.00, 'Online', 'D', 9, 6, 149, 'bickpenna'),
('2003-4-16', 35.00, 'Botteghino', 'C', 4, 6, 240, 'lorenzo-tecchia'),
('2019-6-7', 43.00, 'Prenotato', 'A', 3, 7, 310, 'giorgiovanni'),
('2004-10-11', 44.00, 'Online', 'E', 3, 10, 267, 'homer'),
('2018-4-20', 41.00, 'Online', 'D', 6, 9, 322, 'vegeta'),
('2012-8-29', 41.00, 'Online', 'F', 6, 1, 380, 'lorenzo-tecchia'),
('2011-12-5', 30.00, 'Botteghino', 'E', 4, 1, 468, 'lorenzo-tecchia'),
('2009-11-14', 36.00, 'Botteghino', 'D', 9, 10, 125, 'Goku'),
('2006-8-25', 50.00, 'Prenotato', 'F', 2, 6, 482, 'giorgiovanni'),
('2009-3-29', 34.00, 'Botteghino', 'C', 1, 10, 293, 'giorgiovanni'),
('2020-2-21', 30.00, 'Botteghino', 'A', 6, 12, 93, 'lorenzo-tecchia'),
('2019-4-7', 35.00, 'Botteghino', 'E', 8, 2, 289, 'lorenzo-tecchia'),
('2015-7-12', 36.00, 'Prenotato', 'A', 3, 13, 32, 'Goku'),
('2002-1-18', 48.00, 'Online', 'B', 1, 14, 170, 'giorgiovanni'),
('2015-9-11', 45.00, 'Prenotato', 'B', 7, 6, 129, 'vegeta'),
('2002-1-12', 47.00, 'Online', 'F', 1, 5, 171, 'vegeta'),
('2018-6-24', 39.00, 'Prenotato', 'B', 3, 6, 399, 'giorgiovanni'),
('2019-1-3', 38.00, 'Botteghino', 'F', 7, 2, 119, 'giorgiovanni'),
('2022-8-7', 47.00, 'Prenotato', 'D', 5, 10, 232, 'giorgia'),
('2016-11-1', 41.00, 'Botteghino', 'F', 1, 12, 283, 'Goku'),
('2013-6-21', 45.00, 'Online', 'D', 2, 1, 78, 'vegeta'),
('2019-12-5', 33.00, 'Online', 'F', 1, 8, 121, 'giorgiovanni'),
('2014-7-6', 44.00, 'Online', 'C', 5, 9, 168, 'lorenzo-tecchia'),
('2009-7-1', 36.00, 'Prenotato', 'D', 2, 11, 352, 'lorenzo-tecchia'),
